# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
161.97.67.38         # CRITICAL | Score:100 | Contabo GmbH | FR
45.91.64.7           # CRITICAL | Score:100 | F6 | RU
161.97.67.38         # CRITICAL | Score:100 | Contabo GmbH | FR
207.244.239.45       # CRITICAL | Score:100 | Contabo Inc. | US
45.91.64.7           # CRITICAL | Score:100 | F6 | RU
161.97.67.38         # CRITICAL | Score:100 | Contabo GmbH | FR
94.26.106.200        # CRITICAL | Score:100 | Telco power Ltd | DE
192.109.200.219      # CRITICAL | Score:100 | Telco power Ltd | SE
103.215.201.34       # CRITICAL | Score:100 | A2j Data Services Pvt. Ltd. | IN
103.215.201.34       # CRITICAL | Score:100 | A2j Data Services Pvt. Ltd. | IN
94.26.106.200        # CRITICAL | Score:100 | Telco power Ltd | DE
192.109.200.219      # CRITICAL | Score:100 | Telco power Ltd | SE
207.166.168.14       # CRITICAL | Score:100 | BYTEPLUS | SG
187.191.2.214        # CRITICAL | Score:100 | TOTAL PLAY TELECOMUNICACIONES  | MX
3.130.168.2          # CRITICAL | Score:100 | Amazon Technologies Inc. | US
207.166.168.14       # CRITICAL | Score:100 | BYTEPLUS | SG
176.120.22.240       # CRITICAL | Score:100 | Proton66 OOO | RU
187.191.2.214        # CRITICAL | Score:100 | TOTAL PLAY TELECOMUNICACIONES  | MX
3.130.168.2          # CRITICAL | Score:100 | Amazon Technologies Inc. | US
176.120.22.240       # CRITICAL | Score:100 | Proton66 OOO | RU
3.130.168.2          # CRITICAL | Score:100 | Amazon Technologies Inc. | US
176.120.22.240       # CRITICAL | Score:100 | Proton66 OOO | RU
103.215.201.34       # CRITICAL | Score:100 | A2j Data Services Pvt. Ltd. | IN
187.191.2.214        # CRITICAL | Score: 98 | TOTAL PLAY TELECOMUNICACIONES  | MX
130.12.180.108       # CRITICAL | Score: 98 | Virtualine Technologies | US
3.131.220.121        # CRITICAL | Score: 98 | Amazon Technologies Inc. | US
115.191.65.47        # CRITICAL | Score: 98 | Beijing Volcano Engine Technol | CN
187.191.2.214        # CRITICAL | Score: 98 | TOTAL PLAY TELECOMUNICACIONES  | MX
